,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29,Region_30,Region_31,Region_32,Region_33,Region_34,Region_35,Region_36,Region_37,Region_38,Region_39,Region_40,Region_41,Region_42,Region_43,Region_44,Region_45,Region_46,Region_47,Region_48,Region_49,Region_50,Region_51,Region_52,Region_53,Region_54,Region_55,Region_56,Region_57,Region_58,Region_59,Region_60,Region_61,Region_62,Region_63,Region_64,Region_65,Region_66,Region_67,Region_68,Region_69,Region_70,Region_71,Region_72,Region_73,Region_74,Region_75,Region_76,Region_77,Region_78,Region_79,Region_80,Region_81,Region_82,Region_83,Region_84,Region_85,Region_86,Region_87,Region_88,Region_89,Region_90
Region_1,0.0,0.2069044099955194,0.26220429654238464,0.6944154299261416,0.10022230909075502,0.6867398018299359,0.8123744311020746,0.37791893713853403,0.8842331663191081,0.6467860523171682,0.3084580154592819,0.43285426704350327,0.46314010678657186,0.19613082136976484,0.34389740156700827,0.5037815394945258,0.5360027680461407,0.5121582215075188,0.7802728616052503,0.36526091605835664,0.5003211880096665,0.6564219837654114,0.741503404067885,0.4151479005815113,0.8784878693873213,0.6267732678363481,0.45975186946772706,0.45946863460060183,0.5418678370090848,0.5648497374120172,0.4834066432758884,0.5398115799436167,0.3917370922216548,0.6367021229352308,0.6820323244543341,0.30402895381593953,0.805594478948787,0.3402059731912371,0.6406203619911643,0.179722994935189,0.08920005238932982,0.1985383655378543,0.2693416323823237,0.6666012390309712,0.6537225318525903,0.42234333988220196,0.6444231071010198,0.7364073935275692,0.2957538731994873,0.4388879360386828,0.8238066047153961,0.5667220783108824,0.1641466684196733,0.3086544727922913,0.43120499593228523,0.7920604986938535,0.27431974671751874,0.7594300314574416,0.38725981517512226,0.2497510600485925,0.536280043616668,0.6020086852379387,0.9095429775548804,0.6608442994900583,0.701497289873759,0.5952311141956366,0.5631939176300282,0.5615758393807084,0.1844897783853665,0.31626942825063104,0.17592176631616402,0.7418808420828056,0.5871526779657426,0.2456433253006628,0.32906124943994985,0.3777548865916749,0.4716393275471741,0.45703325474981976,0.4468963819367348,0.12630420285696886,0.48446067251892466,0.26478582811196716,0.5859384129821336,0.4049815280529327,0.5313587016524981,0.18766080075670366,0.41262583894635246,0.7236530442924738,0.5452004271962686,0.7125767658813995
Region_2,0.2069044099955194,0.0,0.544657299846536,0.27252247807903085,0.44861610413865755,0.6503335743855074,0.6620401590981431,0.2535539707546023,0.68979601049894,0.5447435088871675,0.6350005918139026,0.3871759849151126,0.4461799576096884,0.3503017162767035,0.5578437000752521,0.24311845531871956,0.5079200749684516,0.3426336460033506,0.266958026733732,0.46180340337646825,0.4414839958926636,0.34770441276093794,0.23156789177292014,0.21195640889488404,0.37267326717954324,0.6873985943327279,0.9869971183168691,0.7728918229230113,0.33214118308030344,0.2623453157478384,0.8389614395299498,0.8248322983946007,0.47777476448527,0.8548961883687334,0.4120654716962386,0.1979885050318566,0.5095410220077146,0.5791364820029152,0.35072079080713736,0.6158154057311356,0.3457959667365258,0.5912734740813561,0.4529338404822402,0.5832694432351881,0.12392537864199471,0.6745587698955091,0.48675449695328504,0.6513949559353515,0.715735012893419,0.4168446596429379,0.29834662066984785,0.40029020286616446,0.7150424590462006,0.4212926077267695,0.49679323012736315,0.6058698538251013,0.9816158530493664,0.18182162220776443,0.599563763315073,0.7788427717258878,0.6437184010465209,0.25588382810410265,0.17553828159239226,0.25233857499053614,0.5397745013861646,0.39075283872010746,0.5018232890880454,0.710928803347086,0.6267103711790234,0.5176492564797883,0.4563742100106861,0.5143322556739076,0.25181181640170636,0.07603773971556371,0.5012075649427048,0.6896856849503206,0.352427746286491,0.5919591787370556,0.5138505796036039,0.6308937728418009,0.24669015306050224,0.4578969505586105,0.33526743267599063,0.43577429387595046,0.33745277697360776,0.619448553809828,0.5811413728139052,0.6234175588018129,0.5630873248415005,0.355584742807514
Region_3,0.26220429654238464,0.544657299846536,0.0,0.8993120112184647,0.21918427072222957,0.4391007159703331,0.5546829507798708,0.7832647290820596,0.26916812013578045,0.674180526442292,0.4338082227829646,0.22336866242197234,0.7243780911593944,0.7097661920570855,0.9243263638586802,0.28036844983637194,0.21862833213968969,0.21397478621219768,0.5697035331903839,0.5633575320837473,0.7940117757545024,0.7303972150777174,0.7318635047280845,0.725865910834665,0.8236681825381916,0.6829769488143217,0.6967800892430334,0.7909671217232357,0.6214865627526676,0.6234109799661104,0.8156069560887376,0.5452097451121278,0.574150236983759,0.5819349117304521,0.5641342140739396,0.9653237850997601,0.6872126573479538,0.7822571782698968,0.23553064126304607,0.7565827848217366,0.4757928557970906,0.9218669515529737,0.5662780488092483,0.48694498824344007,0.2632475562037206,0.3778674616188297,0.2509730027256796,0.35902827600181275,0.6906530056688679,0.5821318868551411,0.18202143257250797,0.22486784911553298,0.7631772438129321,0.6784435011776864,0.8185972587514523,0.5632253135449077,0.5217441588864933,0.33840480112390686,0.8062116662847973,0.163373725935192,0.2670982513397727,0.4282050058733497,0.5498936440441319,0.1669457835971499,0.7654751247381236,0.2574889159027707,0.558191350954874,0.10113027243204514,0.4860954817050995,0.6882782772028879,0.5570712443652246,0.5281366698284478,0.23656603358633133,0.22687437268683913,0.4587623938782457,0.43875641244637487,0.7076502375255748,0.48225106408341273,0.18753113550244072,0.6981729861756614,0.47301308837309747,0.4849076393634102,0.4486664502451317,0.044479443796270335,0.3260833524407128,0.417063461583068,0.7048793066358707,0.12107763491243856,0.5280835225598517,0.6989352021090751
Region_4,0.6944154299261416,0.27252247807903085,0.8993120112184647,0.0,0.4448618463226581,0.5751975277246899,0.8163476163538402,0.3458549966875517,0.30947531952572266,0.6531904475276884,0.604330342917985,0.15194944095436347,0.4231331368797142,0.4069829507136036,0.7609403412475726,0.34585490213681325,0.5922860121974987,0.36780226278820305,0.17674419707833688,0.47213463972279757,0.6500388316314745,0.27071317401503486,0.4344735492693978,0.6294149822843915,0.2626145584116737,0.8130586210827471,0.29751485620769946,0.1549486080886034,0.31509534704714415,0.5327963045180562,0.7490104812858731,0.8488224998561371,0.4836946343901754,0.4326593152041102,0.3972674694203968,0.5458317721574357,0.4287494420194227,0.5368000524992873,0.7087414501762608,0.452838626837717,0.35291011535232,0.24128653405296652,0.38844865349646396,0.44759922850795647,0.5060473092439632,0.6842880052673941,0.3902219472181439,0.6274409752187913,0.1544800024496294,0.37650144299785965,0.1964992879938034,0.5811707260917324,0.2437060046068561,0.5664224810539911,0.5041079377240614,0.5087223167232874,0.8014425531120686,0.3059891667409579,0.7211121373121459,0.7925028464041424,0.41352421813530427,0.532185085614707,0.389728669636088,0.5480126188234329,0.4316092682304797,0.6788895305960295,0.5688019092862667,0.4310423961277274,0.3838500837163934,0.5955992877014786,0.4941743591634405,0.34897433257932536,0.1982842723060329,0.2383707925774296,0.10726008598555486,0.2174710241730321,0.8482775587992086,0.8926532786702658,0.5793417433554657,0.6386279875954499,0.48280581537190614,0.05340097059801263,0.5762293041387538,0.5156059664430693,0.6407330208520958,0.09459591401051526,0.24547448728912252,0.8248438732487409,0.37699343167159266,0.7193295505883162
Region_5,0.10022230909075502,0.44861610413865755,0.21918427072222957,0.4448618463226581,0.0,0.8008020583493802,0.7030368265041491,0.15757877407694387,0.4595391047457135,0.5537126158907778,0.5937671615952227,0.4919197498113988,0.8082056563587202,0.4958027347639773,0.7201882180664149,0.3912992090670894,0.2569591464509891,0.25855454534293326,0.5635751644685223,0.4841173384490142,0.5028535687467697,0.22472713334412425,0.49789658895030176,0.5008528812962969,0.5246600854381669,0.6849548455179597,0.7739432694883482,0.5571182197233102,0.4697375438916522,0.4179118906969683,0.32441226121424394,0.40199318992981103,0.5807251245396642,0.3030609037168059,0.8436224466987322,0.7436615679386454,0.6417307704972715,0.5435252910221551,0.46779264414970834,0.6360066455915343,0.37073616781382057,0.4074123792699997,0.1770996700871354,0.4677781364654665,0.5572628501419851,0.807101148099711,0.576886467733476,0.6370765988712519,0.4550555366120057,0.3231482846366778,0.5376963868493034,0.47682723502320346,0.5733921089797626,0.5634805431279346,0.37687321497982024,0.5403925053048049,0.3344763005248504,0.4204062448011286,0.49329564228292216,0.293345301526609,0.266682500859959,0.4721700801296544,0.4560479076705226,0.5143089996747086,0.6332613363604729,0.28736918359466784,0.402429169452663,0.5997354405254425,0.5005871122573358,0.7099466025239112,0.1330241049227774,0.6184753772679767,0.27381727316652366,0.6972695027819297,0.6405853066252327,0.8069814937319293,0.4471992696336334,0.34755266030995186,0.4429059017091049,0.20174888114933404,0.3381431968220589,0.5041697838347025,0.29252712551175847,0.293921963806309,0.4905462060826766,0.6763979737179706,0.5301336900281735,0.4887816213499689,0.4921877937943512,0.5617507450626258
Region_6,0.6867398018299359,0.6503335743855074,0.4391007159703331,0.5751975277246899,0.8008020583493802,0.0,0.1481673781616159,0.6396430828026328,0.8084936433329133,0.5881329739379256,0.3639576391661719,0.46665376935882025,0.4671458079869425,0.7611321432572313,0.04193087889542313,0.28464144244702944,0.45572206496922363,0.557690782734527,0.36613481491923694,0.5320696989999808,0.21222705984445628,0.08174725031234298,0.39958581468232324,0.31566903543482383,0.9744165064218838,0.5663609864405755,0.14213840026513486,0.781888596143965,0.21147160452403574,0.5306214199728262,0.31663299057558697,0.47476399219295856,0.4034202466052924,0.4321962484817027,0.12150994365641432,0.4172307140474417,0.5432990834239368,0.6210852958991855,0.4408869401672708,0.6720171298315378,0.4171344419370835,0.5163778626515172,0.8242513656433947,0.4503236320667612,0.19647198384643594,0.5099877690745656,0.8455222718532283,0.903288253380679,0.5377053512749981,0.24614465154356024,0.7832710899425894,0.8615217719878911,0.1491217482234603,0.040524123489129704,0.4554051965079832,0.42427997016412317,0.25304784815554293,0.6651944482336766,0.686101524216497,0.6580060244992989,0.4849200168899924,0.71225439778654,0.8076301655715485,0.40357311282979513,0.3351873358669789,0.7271330528150897,0.5955054811409066,0.4053602517942194,0.940852101380447,0.48172585598296314,0.4048505770585736,0.5879118485903826,0.4635668348825528,0.4660954052680386,0.9181716760791535,0.2815024088210782,0.13462296614740665,0.5672553608800655,0.5137380057802746,0.47664373293408097,0.4652761422965118,0.878485289930185,0.477081757711781,0.5708409804021717,0.7929533859173653,0.4928470370437275,0.8516566696647938,0.5549335775317096,0.39527831127589114,0.7420426551429887
Region_7,0.8123744311020746,0.6620401590981431,0.5546829507798708,0.8163476163538402,0.7030368265041491,0.1481673781616159,0.0,0.3883818672910615,0.8994765204164474,0.7566601392730055,0.5477094393758146,0.40530629022420167,0.3718059681365328,0.9126175365602999,0.822549519987462,0.5730926567294032,0.9428615845520752,0.32622137021686065,0.3488462062701464,0.8611422473277786,0.16365010334441332,0.17143138438175382,0.2671560328798447,0.7416943587608125,0.5569982370159778,0.9638952915811235,0.426977081631428,0.5709181261068631,0.35820228942126286,0.19420849912580007,0.26255698756600643,0.47563275616104894,0.8112368810995849,0.6878607571247802,0.7606850939596131,0.3457867848890145,0.623197425093265,0.42659306507362715,0.48348300917889436,0.27607311155478814,0.32153038555711205,0.6966581814044015,0.6547134378492638,0.8220724277670501,0.26935219629202517,0.6553195268572047,0.423134302237219,0.8825185586099391,0.6776092015953994,0.536457103279206,0.0922858081973244,0.6061989581804779,0.6726431285217633,0.30814951022389686,0.1422164245073752,0.4809725052673346,0.47439141521727124,0.5855042777925461,0.05406803003492028,0.31068038745077664,0.3688866836072474,0.43999338478724015,0.5686097391782906,0.49718468473924293,0.1999502117785878,0.5535542468389789,0.20217137410683977,0.07191471236388869,0.7161631715775323,0.17069707623394548,0.5387821062623344,0.5741009446292992,0.5549047346781506,0.5544626692028374,0.6325642775641868,0.6852067299893745,0.4510548368353245,0.41888503380308123,0.4751833731618672,0.7640226938231914,0.5110254141314872,0.16583981762264655,0.45975151907645234,0.7813305070647514,0.5167845752526579,0.2564488279854159,0.6858563424817947,0.7799654480293932,0.44762811678927444,0.6120464886494763
Region_8,0.37791893713853403,0.2535539707546023,0.7832647290820596,0.3458549966875517,0.15757877407694387,0.6396430828026328,0.3883818672910615,0.0,0.40743871748254296,0.2501740124272573,0.750058299131602,0.6087409355630398,0.7286839297891905,0.2451694608128478,0.7714808394971624,0.6686146679576125,0.3384875349219583,0.7411619699742069,0.4870023149775702,0.3023887171005565,0.5979227851235741,0.4559271297666018,0.24127111947172902,0.44854368192286004,0.27757646701676864,0.6264024907080217,0.8333225372869435,0.39782227393404557,0.17641971079336483,0.5087213244405207,0.6630476252250337,0.5611109118436941,0.5394853738061223,0.5910198735969352,0.8202644234553188,0.7402526034941908,0.34375864805348716,0.2894879534612327,0.513021421484531,0.7419334870111587,0.40805392384456635,0.6570962209413047,0.2451494272356214,0.23574382740022193,0.49079466927101467,0.6399121875478306,0.48585892297017436,0.27860048361613016,0.5336078757956114,0.36825107292359727,0.17620629526129367,0.5526530845662093,0.7122710916239279,0.43060315618443945,0.5506541555600992,0.7299283903423353,0.790114261169902,0.33686815102033124,0.3316804925989601,0.7095883561530874,0.4372423875989856,0.693130493868986,0.39635712875277207,0.25808282744108807,0.33819533422421594,0.48970922013654744,0.5207999959638954,0.46266726904855054,0.2726302564885553,0.2873746671867564,0.13306928710256882,0.364552593419486,0.29882749398745523,0.4624256650595518,0.5708654158026765,0.42508228601139525,0.7144499261814627,0.23936438033998192,0.5958064557663683,0.35854821768569806,0.6324292545128625,0.5586065677427736,0.5694923268475223,0.863733741514682,0.5267686197385697,0.4630238226727313,0.5513395584906108,0.6090864330501544,0.6837422017144521,0.3790276412447935
Region_9,0.8842331663191081,0.68979601049894,0.26916812013578045,0.30947531952572266,0.4595391047457135,0.8084936433329133,0.8994765204164474,0.40743871748254296,0.0,0.7583098372270352,0.446245125285154,0.7619067521762697,0.429109858144061,0.9377299911026717,0.2944662791110696,0.5780277544145596,0.11886902753500439,0.6596373221367419,0.3500831262039991,0.8520601189010939,0.7755879925768098,0.613687846290135,0.649412615147847,0.7331333544921261,0.7232873345335457,0.8501278980653562,0.7100001735966205,0.5061765673768943,0.5232016863351971,0.49515593478369074,0.6692054098704942,0.5854115751124839,0.6322336101237931,0.22345332438522925,0.46726257441075686,0.3783811133955898,0.11086868264385658,0.8733439663421234,0.4207048483546381,0.08502346767933505,0.683232010119428,0.7230963503549213,0.2921509847733075,0.569563004610475,0.6773920886905591,0.5174664568540139,0.3865942945796138,0.5228041172437582,0.48098115182910794,0.7481870769473362,0.6843316352123694,0.4574399484737523,0.3703009860999463,0.14893177417472597,0.562704527164587,0.7351524437149923,0.1781690461485998,0.5766378654691464,0.5313938979243565,0.6981150151124249,0.7372124331493582,0.3133360721898496,0.8439808142844161,0.48181185661336556,0.1817311778015181,0.5822088248552171,0.6291649792658127,0.49909986153352665,0.34822586138522893,0.29842697714113203,0.40439238797043625,0.642394934641954,0.8283121008855523,0.7158510441637387,0.446647152258673,0.5359583315535433,0.7090924224116608,0.8710943921495737,0.29373169450148473,0.8060985038317106,0.49413027393915604,0.5509915631766962,0.7196411792269946,0.08840221598555298,0.2740148448505724,0.3359737658795544,0.6268900477068682,0.6509354395178981,0.753651626340605,0.4635124650334025
Region_10,0.6467860523171682,0.5447435088871675,0.674180526442292,0.6531904475276884,0.5537126158907778,0.5881329739379256,0.7566601392730055,0.2501740124272573,0.7583098372270352,0.0,0.8576214442708558,0.6555463176821746,0.6541360762585379,0.5486553908489851,0.21006370347607928,0.31809423070398474,0.44885920202366664,0.3819835263180322,0.7209459136462508,0.4393906479127738,0.4634582299082535,0.25701470469500054,0.8329501083010489,0.04405729858136831,0.4859069751692999,0.5513578414695404,0.3932228944858285,0.3263247612411811,0.49144192597114317,0.6816556292863044,0.19966637323351405,0.46203019475238893,0.3066139527543753,0.7414311767080357,0.23252382283760442,0.35422704024974155,0.64611479178425,0.5646163386714089,0.28226119529247123,0.456974468213243,0.6534822891063734,0.3343145347257129,0.33056045033035797,0.5779375186123522,0.5593224197786335,0.48424415738524573,0.4151016260809293,0.47437491366740325,0.8662064172027986,0.5842226669737431,0.3814790229446447,0.4698874021914491,0.45519278077851494,0.5504698747317655,0.43736580581291656,0.5586258256463879,0.6737913574401886,0.43643742349378584,0.5087467101662152,0.6197297090761421,0.6937122110193457,0.511748452821458,0.48700669972179655,0.21324122562321762,0.2636070977750652,0.5425389721464864,0.24136958002930586,0.5926641956926717,0.511297904921281,0.7948655549408838,0.724499807217236,0.6916241556663234,0.7177666723627779,0.20161696520534483,0.5676834004370797,0.8528665108464286,0.45801664084430355,0.5317810535031902,0.6726007730336458,0.537633840821383,0.2921505873944577,0.4842839126580077,0.6049115301369644,0.603688415216032,0.4018134081124238,0.66176648850337,0.4906918216176718,0.741415984175394,0.5017981602873256,0.9123298512119761
